SDG Sold To Party;Ship To;SDG Sold To Party Name;Ship To Party;Country Code;SDG S/O Number;Material;Purchase order item;Order Qty;RequestDeliveryDate;OTX Date Created;Order Type;Surface;Delivered Qty;Thickness;Created By;In Production Qty;Final Qty;Status Description;Reason;Ncode
A2008145;A2011465;Zoppas Industries Romania S.R.L;NDB LOGISTICA;RO;1000633433;542PTD040NR0003;30;10000;31.08.2026;26.06.2026;CON;2R;0;0.4;J.FOBASSO;0;0;;;N15278
A2008145;A2011465;Zoppas Industries Romania S.R.L;NDB LOGISTICA;RO;1000637657;542ATB040NA0005;10;5000;13.07.2026;22.05.2026;CON;2B;0;0.4;J.FOBASSO;0;5576;;;N2629
A2008145;A2011465;Zoppas Industries Romania S.R.L;NDB LOGISTICA;RO;1000637657;542ATB040NA0005;20;10000;17.08.2026;26.06.2026;CON;2B;0;0.4;J.FOBASSO;11100;0;;;N2629
A2008145;A2011465;Zoppas Industries Romania S.R.L;NDB LOGISTICA;RO;1000643353;542ATB050NA0011;10;3000;03.08.2026;26.06.2026;MTS;2B;0;0.5;J.FOBASSO;7800;1889;;;N2576
A2008145;A2011465;Zoppas Industries Romania S.R.L;NDB LOGISTICA;RO;1000643353;542ATB050NA0007;20;3000;03.08.2026;01.07.2026;MTS;2B;0;0.5;J.FOBASSO;0;0;;;N1731
A2052007;A2052127;WP-Woergartner Produktions-GmbH;WP-Woergartner Produktions-GmbH;AT;1000625220;542PTE060NH0026;10;16000;06.07.2026;06.03.2026;MTO;2H;0;0.6;ADRIAN.RAFI;20000;0;;;N16057
A2052007;A2052127;WP-Woergartner Produktions-GmbH;WP-Woergartner Produktions-GmbH;AT;1000625220;542PTE060NH0026;30;16000;17.08.2026;06.03.2026;MTO;2H;0;0.6;ADRIAN.RAFI;0;0;;;N16057
A2052007;A2052127;WP-Woergartner Produktions-GmbH;WP-Woergartner Produktions-GmbH;AT;1000634389;542PTE060NH0026;10;16000;07.09.2026;29.04.2026;MTO;2H;0;0.6;ADRIAN.RAFI;0;0;;;N16057
A2052007;A2052127;WP-Woergartner Produktions-GmbH;WP-Woergartner Produktions-GmbH;AT;1000634389;542PTE060NH0026;30;16000;21.09.2026;29.04.2026;MTO;2H;0;0.6;ADRIAN.RAFI;0;0;;;N16057
A2052007;A2052127;WP-Woergartner Produktions-GmbH;WP-Woergartner Produktions-GmbH;AT;1000634389;542PTE060NH0026;50;16000;26.10.2026;29.04.2026;MTO;2H;0;0.6;ADRIAN.RAFI;0;0;;;N16057
A2052007;A2052127;WP-Woergartner Produktions-GmbH;WP-Woergartner Produktions-GmbH;AT;1000634389;542PTE060NH0026;70;16000;09.11.2026;29.04.2026;MTO;2H;0;0.6;ADRIAN.RAFI;0;0;;;N16057
0001032294;0001032294;Witzenmann-Speck GmbH;Witzenmann-Speck GmbH;DE;1000631310;542PTY025NR0107;10;2000;14.09.2026;10.04.2026;MTO;2R;0;0.27;LUCIE.SAADE;2400;0;;;N16023
0001032294;0001032294;Witzenmann-Speck GmbH;Witzenmann-Speck GmbH;DE;1000638620;542PTZ030NR0032;10;5000;31.08.2026;28.05.2026;MTO;2R;0;0.3;LUCIE.SAADE;3300;2044;;;N15611
0001032294;0001032294;Witzenmann-Speck GmbH;Witzenmann-Speck GmbH;DE;1000644242;542PTZ025NR0054;10;4000;07.09.2026;30.06.2026;MTO;2R;0;0.25;LUCIE.SAADE;0;0;;;N16590
0001032296;A2059754;WITZENMANN USA, LLC;Midwest Warehousing;US;1000612170;542PTB020NR0011;80;7000;13.07.2026;03.04.2026;B05;2R;0;0.2;J.BARBAUD;0;7246;;;N5074B US
0001032296;A2059754;WITZENMANN USA, LLC;Midwest Warehousing;US;1000612170;542PTB020NR0011;90;7000;24.08.2026;24.06.2026;B05;2R;0;0.2;J.BARBAUD;0;0;;;N5074B US
0001032296;A2059754;WITZENMANN USA, LLC;Midwest Warehousing;US;1000612170;542PTB020NR0011;100;7000;07.09.2026;24.06.2026;B05;2R;0;0.2;J.BARBAUD;0;0;;;N5074B US
A2005118;A2005118;Witzenmann Slovakia, spol. s.r.o.;Witzenmann Slovakia, spol. s.r.o.;SK;1000614746;542PTH050NR0030;80;2700;20.07.2026;21.05.2026;MTO;2R;-752;0.5;LUCIE.SAADE;1000;1692;;;N12790 SK
A2005118;A2005118;Witzenmann Slovakia, spol. s.r.o.;Witzenmann Slovakia, spol. s.r.o.;SK;1000614746;542PTH050NR0030;90;2700;10.08.2026;17.06.2026;MTO;2R;0;0.5;LUCIE.SAADE;0;0;;;N12790 SK
A2005118;A2005118;Witzenmann Slovakia, spol. s.r.o.;Witzenmann Slovakia, spol. s.r.o.;SK;1000614776;542PTH050NR0029;60;4000;20.07.2026;21.05.2026;MTO;2R;0;0.5;LUCIE.SAADE;900;0;;;N12630 SK
A2005118;A2005118;Witzenmann Slovakia, spol. s.r.o.;Witzenmann Slovakia, spol. s.r.o.;SK;1000614776;542PTH050NR0029;70;8000;24.08.2026;25.06.2026;MTO;2R;0;0.5;LUCIE.SAADE;0;0;;;N12630 SK
A2005118;A2005118;Witzenmann Slovakia, spol. s.r.o.;Witzenmann Slovakia, spol. s.r.o.;SK;1000614796;542PTH025NR0098;60;4000;27.07.2026;08.06.2026;MTO;2R;0;0.25;LUCIE.SAADE;0;0;;;N15546 SK
A2068080;A2052698;Witzenmann Produktions-GmbH;Striebich GmbH;DE;1000642218;542ATN030NA0039;10;2000;31.08.2026;22.06.2026;CON;2B;0;0.3;LUCIE.SAADE;0;0;;;N13834
A2068080;A2052698;Witzenmann Produktions-GmbH;Striebich GmbH;DE;1000642219;542ATN030NA0039;10;2000;10.08.2026;22.06.2026;CON;2B;0;0.3;LUCIE.SAADE;0;0;;;N13834
A2068080;A2052698;Witzenmann Produktions-GmbH;Striebich GmbH;DE;1000642220;542ATN030NA0040;10;2000;10.08.2026;22.06.2026;CON;2B;0;0.3;LUCIE.SAADE;1690;0;;;N13833
A2068080;A2052698;Witzenmann Produktions-GmbH;Striebich GmbH;DE;1000642222;542ATN030NA0040;10;2000;10.08.2026;22.06.2026;CON;2B;0;0.3;LUCIE.SAADE;0;0;;;N13833
A2068080;A2052698;Witzenmann Produktions-GmbH;Striebich GmbH;DE;1000642223;542ATN030NA0040;10;2000;31.08.2026;22.06.2026;CON;2B;0;0.3;LUCIE.SAADE;0;0;;;N13833
A2068080;A2068080;Witzenmann Produktions-GmbH;Witzenmann Produktions-GmbH;DE;1000643816;542ATB030NA0010;10;4000;20.07.2026;29.06.2026;CON;2B;0;0.3;LUCIE.SAADE;8100;0;;;N12469
A2068080;A2068080;Witzenmann Produktions-GmbH;Witzenmann Produktions-GmbH;DE;1000643816;542ATB030NA0010;20;4000;10.08.2026;29.06.2026;CON;2B;0;0.3;LUCIE.SAADE;5900;0;;;N12469
A2068080;A2068080;Witzenmann Produktions-GmbH;Witzenmann Produktions-GmbH;DE;1000643816;542ATB030NA0010;30;12000;17.08.2026;29.06.2026;CON;2B;0;0.3;LUCIE.SAADE;5900;0;;;N12469
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000616283;542PTZ015NR0022;90;7000;06.07.2026;21.05.2026;MTO;2R;0;0.15;J.BARBAUD;3059;2641;;;N16217 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000616300;542PTZ020NR0011;130;10000;06.07.2026;21.05.2026;MTO;2R;0;0.2;J.BARBAUD;14500;1185;;;N16216 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000616300;542PTZ020NR0011;150;10000;10.08.2026;12.06.2026;MTO;2R;0;0.2;J.BARBAUD;8000;0;;;N16216 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000616301;542PTB020NR0011;80;30000;20.07.2026;21.05.2026;MTO;2R;0;0.2;J.BARBAUD;18500;6338;;;N14788 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000616301;542PTB020NR0011;90;26000;17.08.2026;12.06.2026;MTO;2R;0;0.2;J.BARBAUD;9000;0;;;N14788 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000617848;542PTH020NR0170;50;5000;10.08.2026;12.06.2026;MTO;2R;0;0.2;J.BARBAUD;0;0;;;N14954 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000617851;542PTN020NR0020;40;4000;17.08.2026;12.06.2026;MTO;2R;0;0.2;J.BARBAUD;0;0;;;N11914 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000617852;542PTN020NR0129;60;20000;17.08.2026;12.06.2026;MTO;2R;0;0.2;J.BARBAUD;0;0;;;N17364 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000617854;542PTN020NR0003;30;6000;13.07.2026;21.05.2026;MTO;2R;0;0.2;J.BARBAUD;0;0;;;N13873 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000617855;542PTN020NR0108;30;3600;20.07.2026;21.05.2026;MTO;2R;0;0.2;J.BARBAUD;0;0;;;N14955 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000617856;542PTB015NR0009;40;2000;20.07.2026;21.05.2026;MTO;2R;0;0.15;J.BARBAUD;2500;0;;;N16711 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000617856;542PTB015NR0009;50;4000;10.08.2026;12.06.2026;MTO;2R;0;0.15;J.BARBAUD;19000;0;;;N16711 MX
A2016065;A2016066;WITZENMANN METAL PRODUCTS MEXICO;Witzenmann Metal Products Mexico S.;MX;1000624959;542PTH020NR0205;40;7000;27.07.2026;02.06.2026;MTO;2R;0;0.2;J.BARBAUD;0;0;;;N17594 MX
A2051080;A2051080;Witzenmann Italia S.r.l.;Witzenmann Italia S.r.l.;IT;1000643549;542PTL025NR0063;10;5000;31.08.2026;26.06.2026;MTO;2R;0;0.25;LUCIE.SAADE;0;0;;;N15035
A2051080;A2051080;Witzenmann Italia S.r.l.;Witzenmann Italia S.r.l.;IT;1000643550;542ATL030NA0078;10;6000;31.08.2026;26.06.2026;MTO;2B;0;0.3;LUCIE.SAADE;0;0;;;N15036
A2051080;A2051080;Witzenmann Italia S.r.l.;Witzenmann Italia S.r.l.;IT;1000643704;542ATL030NA0086;10;8000;31.08.2026;26.06.2026;MTO;2B;0;0.3;LUCIE.SAADE;1390;0;;;N15037
A2051080;A2051080;Witzenmann Italia S.r.l.;Witzenmann Italia S.r.l.;IT;1000643704;542ATL030NA0086;20;6000;21.09.2026;26.06.2026;MTO;2B;0;0.3;LUCIE.SAADE;0;0;;;N15037
0001005042;0001005042;WITZENMANN GMBH;WITZENMANN GMBH;DE;1000612904;542ATN030NA0023;30;4000;06.07.2026;31.03.2026;CON;2B;0;0.3;LUCIE.SAADE;4730;0;;;N12563
0001005042;0001005042;WITZENMANN GMBH;WITZENMANN GMBH;DE;1000612905;542ATN030NA0013;50;4000;10.08.2026;26.06.2026;CON;2B;0;0.3;LUCIE.SAADE;4100;0;;;N13793
