;;;;;;;;;;;;;;;;;;;;;;;;;;;ZSCM015;ZSCM015;ZSCM015;ZSCM104;ZSCM104;ZSCM104;;0;Customer FCST;Customer FCST;Customer FCST;;;;;;;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;;;;;;;;;;
;;;;;;;;;;;;;;;;;5;;;;;result;;;;;;;;;;;2026-02;2026-07;;;;;1647;756;-270;270;162;513;342;684;540;90;0;0;270;126;2424.53;-36.46;;;;;;;
Grade (ASTM);Grade (EN);Thickness (mm);Group n-code;Thickness tolerance - (mm);Thickness tolerance + (mm);Covers N-codes;Width Tolerance - (mm);Width Tolerance + (mm);Width (mm);Edge;Finishing comments;Cold reduction max. (Y/N);"Customer 
(Sold-to)";"Customer 
(ship-to)";Produced alone (Y/N);2R Shift;Combined with N-code;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2026-10;2026-11;2026-12;"Frequency
(#)";"� 6 months
(kg/month)";2026-10;2026-11;2026-12;"29th JUN
Consignment Stock (mt)";"17.11.25
James
Preparation quantity (mt)";"12.02.26
James
Preparation quantity (mt)";"May.26
James
Preparation
quantity (mt)";"June.26
James
Preparation quantity
(mt)";"July.26
James
Preparation quantity
(mt)";"19th NOV
Irinel
DEC Production
Plan quantity";"11th DEC
Irinel
JAN Production Plan quantity";"29th DEC
Irinel
FEB Production Plan quantity";"12th FEB
Irinel 
MAR Production
Plan quantity";"27th MAR
Irinel 
APR Production
Plan quantity";"MAY
Irinel 
MAY Production
Plan quantity";"JUN
Irinel 
JUN Production
Plan quantity";"JUL
Irinel 
JUL Production
Plan quantity";"24th JUN
Orer Balance
Quantity (mt)";"24th JUN
Produced Quantity (mt)";"24th JUN
Production Balance Quantity (mt)";PO short;PO long;FC client;TBA/ mothercoil  ;Request for origin;External PIC;Internal PIC
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;B;;;;;;;;C=A-B;D;E=B-D;;;;;;;
304 / 304L;1.4301;0.25;"N10239
(-0.015/ +0.015)";-0.02;0.02;N10239;-0.15;0.15;125;Slit;TL;Y;Alfa Laval Technologies AB;Alfa Laval Technologies AB;Y;;;0;28865;20396;20003;23308;60000;52000;78000;0;0;0;0;;;;#REF!;0;;;;;18;;;18;;0;18;0;0;0;0;0;18;0;15.12;20.88;x;;x;;AST + Outokumpu;James;Pano
304 / 304L;1.4301;0.25;;-0.015;0.015;N15975;0;1.5;914.4;Slit;TL;N;0;Italinox USA Ltd. Co.;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;EU;Sophie; Jessica
304 / 304L;1.4301;0.25;;-0.017;0.017;N9810;-20;0;500;Slit;SKP/TL;N;0;Piattine E Profili Inox S.R.L.;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;X;;;;;Sophie;Sergius
;1.4301;0.25;;;;;;;;;;;0;;;;;0;28865;20396;20003;23308;60000;52000;78000;0;0;0;0;;;;;0;;;;;18;0;0;18;0;0;18;0;0;0;0;0;18;0;15.12;20.88;;;;;;;
304 / 304L;1.4307;0.25;N11478;-0.017;0.017;N11478;0;0.25;120;Slit;TL;N;Areco Industry AB;Urbetrans Logistica;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;18;0;0;0;-18;17.72;0.28;;X;;;;Sophie;Judith
304 / 304L;1.4307;0.25;;-0.025;0.025;N11534;0;0.3;125;Slit;TL;N;Areco Industry AB;Urbetrans Logistica;Y;;;0;4018;0;0;3124;0;3124;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X;;;;Sophie;Judith
304 / 304L;1.4307;0.25;;-0.025;0.025;N11535;0;0.3;138;Slit;TL;N;Areco Industry AB;Urbetrans Logistica;Y;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;#REF!;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;;;X;;;;Sophie;Judith
