;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZSCM015;ZSCM015;ZSCM015;ZSCM104;ZSCM104;ZSCM104;;8758.666667;Customer FCST;Customer FCST;Customer FCST;PIC FCST;;;;2026-07;;;;;;;;;;;;
;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;result;;;;;;;;;;;2026-02;2026-07;;;;;18;0;0;0;0;0;18;0;0;;;;;;;
Grade (ASTM);Grade (EN);Thickness (mm);Group n-code;Thickness tolerance - (mm);Thickness tolerance + (mm);Covers N-codes;TS min (MPA);TS Max (MPA);Width (mm);Edge;Surface;Cold reduction max. (Y/N);"Customer 
(Sold-to)";"Customer 
(ship-to)";Produced alone (Y/N);Combined with N-code;Ø monthly mt N-code;Ø monthly mt APC N-code ;3 month quantity (kg);2025-1;2025-2;2025-3;2025-4;2025-5;2025-6;2025-7;2025-8;2025-9;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2026-10;2026-11;2026-12;"Frequency
(#)";"Ø 6 months
(kg/month)";2026-10;2026-11;2026-12;Q4 Expect;"June.26
James
Preparation quantity
(mt)";;;"JUL
Irinel 
JUL Production
Plan quantity";;;"24th JUN
Orer Balance
Quantity (mt)";"24th JUN
Produced Quantity (mt)";"24th JUN
Production Balance Quantity (mt)";PO short;PO long;FC client;TBA/ mothercoil  ;Request for origin;External PIC;Internal PIC
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;B;C;D;E;F;G=(A+B+C)-(D+E+F);H;I=(D+E+F)-H;;;;;;;
304;1.4301;0.6;N7578;-0.015;0.015;N7578;1225;1350;66;;2H;;M.S. Ambrogio S.P.A. SOCIO UNICO;M.S. Ambrogio S.P.A.;;;;0;0;;;;;;;;;;;;;10943;7446;4296;12827;0;0;0;11000;0;0;0;0;;;;3;8189.666667;;;;20000;18;;;0;0;0;18;0;0;;;;;;Frank;Sergius
304;1.4301;0.7;N17687(-0.015/+0.015);-0.03;0.03;N17683;340;390;56;;2H;;VANIKO O.O.D.;VANIKO O.O.D.;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;;;;0;0;0;0;0;;;;;;;Patrick;Frank
304;1.4301;0.7;;-0.03;0.03;N17684;340;390;81;;2H;;VANIKO O.O.D.;VANIKO O.O.D.;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;;;;0;0;0;0;0;;;;;;;Patrick;Frank
304;1.4301;0.7;;-0.03;0.03;N17685;340;390;106;;2H;;VANIKO O.O.D.;VANIKO O.O.D.;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;;;;0;0;0;0;0;;;;;;;Patrick;Frank
304;1.4301;0.7;;-0.03;0.03;N17686;340;390;131;;2H;;VANIKO O.O.D.;VANIKO O.O.D.;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;;;;0;0;0;0;0;;;;;;;Patrick;Frank
304;1.4301;0.7;;-0.03;0.03;N17687;340;390;210;;2H;;VANIKO O.O.D.;VANIKO O.O.D.;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;;;;0;0;0;0;0;0;;;;;;Patrick;Frank
304;1.4301;0.7;;-0.03;0.03;N5296;340;390;300;;2H;;VANIKO O.O.D.;VANIKO O.O.D.;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;;;;0;0;0;0;0;;;;;;;Patrick;Frank
304;1.4301;0.7;;-0.015;0.015;N11740;;;56;;2R;;GOTTLIEB ROLL GMBH & CO. KG;GOTTLIEB ROLL GMBH & CO. KG;;;;;0;;;;;;;;;;;;;0;3414;0;0;0;0;0;0;0;0;0;0;;;;1;569;;;;;;;;0;0;0;0;0;;;;;;;Patrick;Merlin
;1.4301;0.3;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3414;0;0;0;0;0;0;0;0;0;0;;;;;569;;;;;0;0;0;0;0;0;0;0;0;;;;;;;
304;1.4301;0.8;N15934;-0.015;0.015;N15934;;;22;;2R;;EGON NESPER GMBH & CO. KG;EGON NESPER GMBH & CO. KG;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;2000;0;0;0;0;;;;0;0;;;;;0;;;0;0;0;0;0;0;;;;;;Dejan;Frank
304;1.4301;1;N17355;-0.025;0.025;N17355;1000;1150;1250;;2H;;STAYSTRIP GROUP LTD.;STAYSTRIP GROUP LTD.;;;;0;0;;;;;;;;;;;;;5615;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;;;;;0;0;0;0;0;0;;;;;;James;Livio
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304(H);1.4301;0.8;N16844;-0.02;0.02;N16844;1100;1250;60;;2H;;Arthur Weber AG;Wika Schweiz AG;;;;0;0;;;;;;;;;;;;;0;1667;0;0;0;0;0;6000;0;0;0;0;;;;1;1667;;;;4000;;;;0;0;0;0;0;0;;;;;;Patrick;Merlin
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;1.4303;0.6;N7322;-0.02;0.02;N16788;;;80.2;;2R;;STUEKEN LLC;STUEKEN LLC;;;;0;0;;;;;;;;;;;;;0;6479;13437;0;0;0;0;0;16000;0;0;0;;;;2;3319.333333;;;;16000;18;;;0;0;0;18;0;;;;;;;Patrick;Jessica
305;1.4303;0.6;;-0.03;0.03;N16993;;;88;;2R;;MA.EL. S.R.L.;MA.EL. S.R.L.;;;;;0;;;;;;;;;;;;;0;0;2790;0;0;0;0;0;0;0;0;0;;;;1;465;;;;2000;;;;0;0;0;0;0;;;;;;;Frank G.;Sergius
305;1.4303;0.6;;-0.015;0.015;N7322;;;70;;2R;;J.C. Koenig Stiftung & Co. KG;J.C. Koenig Stiftung & Co. KG;;;;;0;;;;;;;;;;;;;0;1096;0;0;0;1000;0;0;0;0;0;0;;;;2;349.3333333;;;;2000;;;;0;0;0;0;0;;;;;;;Patrick;Adrian
305;1.4303;0.6;;-0.02;0.02;N17477;;;86;;2R;;STUEKEN LLC;STUEKEN LLC;;;;;0;;;;;;;;;;;;;0;0;4338;0;0;0;0;0;0;0;0;0;;;;1;723;;;;2000;;;;0;0;0;0;0;;;;;;;Patrick;Jessica
305;1.4303;0.6;;-0.02;0.02;N17595;;;61;;2R;;Press Teck S.p.A.;Press Teck S.p.A.;;;;;0;;;;;;;;;;;;;0;0;0;0;3712;4000;0;0;0;0;0;0;;;;2;1285.333333;;;;4000;;;;0;0;0;0;0;0;;;;;;Frank G.;Sergius
;1.4303;0.6;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7575;20565;0;3712;5000;0;0;16000;0;0;0;;;;;6142;;;;26000;18;0;0;0;0;0;18;0;0;;;;;;;
305;1.4303;0.65;N15793(-0.015/+0.015);-0.02;0.02;N15793;;;84;;2R;;Press Teck S.p.A.;Press Teck S.p.A.;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;;;;4000;;;;0;0;0;0;0;;;;;;;Frank G.;Sergius
